,Astronomy and Astrophysics.txt
physics,344
observatory,200
science,174
engineering,144
research,126
society,122
international,114
sciences,112
technology,101
astronomical,100
applied,95
transactions,92
university,91
bulletin,87
publications,81
acta,76
der,76
ieee,73
physical,72
space,69
nauk,67
chemistry,66
astronomy,62
materials,61
izdatel,60
series,59
mathematical,59
communications,55
proceedings,52
review,52
akademiia,51
contributions,51
et,50
mathematics,49
des,49
systems,49
mechanics,48
moscow,46
astrophysics,46
institute,46
letters,45
royal,44
geophysics,44
energy,41
zeitschrift,41
reviews,41
advances,41
und,40
supplement,40
american,40
reports,39
institut,36
reprints,36
applications,36
earth,35
nuclear,34
electronics,34
di,32
la,31
sssr,31
chemical,31
annales,30
report,30
ssr,30
mitteilungen,29
progress,29
japan,28
physica,28
seriia,28
analysis,28
methods,27
indian,27
annals,27
optics,27
trudy,26
geophysical,26
ussr,26
european,26
processing,25
lobservatoire,25
new,25
vki,24
dynamics,24
computational,24
education,23
high,23
izvestiia,23
optical,23
sternwarte,23
academy,23
fur,23
soviet,23
national,23
solid,22
zu,22
theory,22
theoretical,22
aerospace,22
fluid,21
physique,21
control,21
springer,21
annual,21
radio,20
information,20
zhurnal,20
chinese,20
observatorii,20
veroeffentlichungen,20
state,19
revue,19
electronic,19
fizika,19
paris,18
magazine,18
sinica,18
numerical,18
astronomico,18
power,18
jprs,18
studies,18
biophysics,18
vibration,18
molecular,17
modern,17
technical,17
association,17
astronomica,17
observations,17
heat,17
college,17
memoirs,17
izvestiya,17
iee,17
astrophysical,16
quantum,16
mekhanika,16
physik,16
serie,16
leningrad,16
data,16
variable,16
biology,16
issledovaniia,16
scientific,16
asme,15
structures,15
verlag,15
vestnik,15
problemy,15
arxiv,15
atmospheric,15
canadian,15
notes,15
quarterly,15
transfer,15
eprints,15
electrical,14
nauka,14
astronomicheskoj,14
plasma,14
experimental,14
engineers,14
planetary,14
universitet,14
laboratory,14
sci,14
rept,14
aeronautical,13
south,13
laser,13
tokyo,13
astronomischen,13
signal,13
computers,13
environmental,13
publication,13
gesellschaft,13
techniques,13
history,13
doklady,13
section,12
universitaetssternwarte,12
design,12
shock,12
solar,12
faculty,12
berlin,12
observatoire,12
development,12
meteorology,12
mechanical,12
observatorio,12
fiziki,12
british,12
america,11
philosophical,11
surface,11
topics,11
academie,11
london,11
special,11
center,11
newsletter,11
atomic,11
star,11
circular,10
sensing,10
papers,10
computing,10
instruments,10
remote,10
measurement,10
medicine,10
radiation,10
computation,10
image,10
geology,10
universitaet,10
physikalische,10
australian,10
imaging,10
instituta,10
belgique,10
advanced,9
ime,9
acoustics,9
institution,9
stars,9
composites,9
biochemistry,9
electron,9
zealand,9
meteorological,9
osservatorio,9
spectroscopy,9
telecommunications,9
voprosy,9
nonlinear,9
biophysical,9
recent,9
cambridge,9
mathematik,9
news,9
rendus,9
solids,9
akademiya,9
comptes,9
fiziko,9
astronomische,9
pure,9
naukitekhniki,9
communication,9
metals,9
fluids,8
biological,8
itogi,8
department,8
modelling,8
archiwum,8
kiev,8
revista,8
chemie,8
tekhnika,8
astronomie,8
akademie,8
circulars,8
harvard,8
edinburgh,8
angewandte,8
mecanique,8
del,8
statistical,8
mathematica,8
observers,8
universiteta,8
optimization,8
ocean,8
van,8
industrial,8
annalen,8
naval,8
technische,7
classe,7
union,7
societe,7
general,7
composite,7
specola,7
fuer,7
magnetic,7
italiana,7
circuits,7
meeting,7
aeronautics,7
pubblicazioni,7
fusion,7
abstracts,7
geophysik,7
archives,7
analytical,7
mass,7
du,7
quarter,7
infrared,7
marine,7
boletin,7
mount,7
temperature,7
matter,7
nuovo,7
medical,7
division,7
macromolecular,7
dellosservatorio,7
nasa,7
fizicheskaia,7
scienze,6
australia,6
russian,6
vaticana,6
della,6
energiia,6
processes,6
esa,6
berichte,6
african,6
sterne,6
air,6
waves,6
studia,6
smithsonian,6
southern,6
astronomique,6
telecommunication,6
thermophysics,6
germany,6
simulation,6
lecture,6
royale,6
memoires,6
dastrophysique,6
china,6
geochemistry,6
particle,6
defense,6
francaise,6
heidelberg,6
astronomisches,6
nacional,6
nachrichten,6
moskovskii,6
rivista,6
seriya,6
tsirkulyar,6
siam,6
astronomii,6
centre,6
graphics,6
appliquee,6
astrofizicheskoj,6
catalysis,6
neural,6
network,6
meteorologie,6
management,6
preprint,6
vychislitel,6
hungarica,6
manufacturing,6
naukite,6
hydrology,6
scandinavica,6
instrumentation,6
polymer,6
uspekhi,6
nauki,5
machine,5
nye,5
geological,5
kyoto,5
matematika,5
koeniglichen,5
nondestructive,5
condensed,5
testing,5
integrated,5
bureau,5
conference,5
atmosfery,5
west,5
structural,5
czechoslovak,5
global,5
oxford,5
handbook,5
si,5
statistics,5
non,5
sources,5
current,5
japanese,5
monographs,5
vision,5
cape,5
scripta,5
lowdimensional,5
sistem,5
digest,5
astronomia,5
world,5
fizicheskii,5
mechanika,5
propulsion,5
observatoriums,5
spacecraft,5
atti,5
biomedical,5
technique,5
astronautics,5
contemporary,5
ceramic,5
africa,5
matematicheskii,5
geophysica,5
memorie,5
recherche,5
hamburger,5
transport,5
accademia,5
metallurgica,5
rendiconti,5
gosudarstvennyi,5
bulgarska,5
resources,5
biophysica,5
india,5
discussions,5
flow,5
dynamical,5
universidad,5
biochemical,5
evaluation,5
kyushu,5
instituto,5
climate,5
clinical,5
polytechnica,5
navigation,5
low,5
korean,5
biblioteka,4
gidrometeoizdat,4
antennas,4
periodica,4
pacific,4
geometry,4
linstitut,4
york,4
recherches,4
mashinostroenie,4
byulleten,4
studii,4
electro,4
instituts,4
mathematiques,4
texas,4
lick,4
monthly,4
astronomicheskii,4
wilson,4
microgravity,4
observatories,4
artificial,4
physiology,4
ii,4
standards,4
kiel,4
related,4
nuclei,4
evolution,4
geodeziia,4
acoustical,4
biochimica,4
plata,4
press,4
ueber,4
yale,4
beijing,4
meteorite,4
psychology,4
cordoba,4
environment,4
pis,4
societa,4
observatorium,4
argentina,4
express,4
horizons,4
phenomena,4
planets,4
economics,4
materialia,4
napoli,4
moon,4
turbulence,4
astrophysik,4
finance,4
geography,4
nazionale,4
polish,4
muenchen,4
dei,4
oceanography,4
dominion,4
ma,4
archiv,4
beams,4
janeiro,4
minsk,4
mekhaniki,4
surfaces,4
prikladnoi,4
rio,4
wissenschaften,4
bssr,4
astronomiia,4
akademii,4
france,4
academia,4
im,4
beitraege,4
radiotekhnika,4
zur,4
matematiki,4
laboratories,4
automation,4
khimiia,4
equations,4
water,4
ferroelectrics,4
combustion,4
teorii,4
thermal,4
plazmy,4
oral,4
pollution,4
satellite,4
tverdogo,4
tela,4
gosudarstvennyj,4
shkola,4
natural,4
classical,4
nouvelle,4
gazov,4
biulleten,4
israel,4
biophysique,4
climatology,4
gmbh,4
fundamental,4
aviation,4
life,4
materialov,4
archive,4
washington,4
tadzhikskoi,4
east,4
photonics,4
univ,4
astrofiziki,4
wave,4
microwave,4
selected,4
tellus,4
astronautica,4
mechanik,4
rsr,4
contributi,4
fracture,4
besancon,4
otdelenie,4
zemli,4
informatsii,4
cosmology,4
acad,4
quality,4
networks,4
open,4
chaos,4
reliability,4
glavnoj,4
stockholms,3
atmosphere,3
veraenderliche,3
observateurs,3
kodaikanal,3
minnesota,3
matematica,3
madrid,3
den,3
intelligence,3
cercetari,3
conversion,3
elektronika,3
universitas,3
leipzig,3
mathematisch,3
naturwissenschaftliche,3
bosscha,3
es,3
behavior,3
soil,3
comments,3
cosmic,3
urania,3
scientia,3
scandinavian,3
geographie,3
onera,3
speech,3
chile,3
tohoku,3
culture,3
computeraided,3
fisica,3
ricerche,3
durchmusterung,3
swasey,3
warner,3
inst,3
media,3
bulletins,3
travaux,3
thermodynamics,3
sensors,3
padova,3
maszyn,3
roumaine,3
semiconductors,3
letter,3
relativity,3
tiflis,3
combinatorics,3
rossiiskaia,3
colloid,3
rossijskaya,3
wissenschaftliche,3
physiological,3
broadcasting,3
leaflet,3
gravity,3
david,3
dunlap,3
st,3
circulaire,3
transportation,3
differential,3
fiber,3
ciencias,3
elektronik,3
republic,3
victoria,3
institutes,3
cybernetics,3
astronomisk,3
tidsskrift,3
lyon,3
electromagnetics,3
variables,3
astronomiques,3
lacademie,3
obs,3
deutsche,3
norvegica,3
soobshcheniya,3
bulgarian,3
astronomicheskogo,3
konferentsiia,3
vsesoiuznaia,3
digital,3
philosophy,3
antarctic,3
metsniereba,3
crystallography,3
interface,3
goettingen,3
dunsink,3
council,3
athens,3
superconductivity,3
washburn,3
wroclaw,3
skalnate,3
pleso,3
aerospatiale,3
vleck,3
dushanbe,3
kazan,3
mineralogy,3
raumfahrt,3
beobachtungen,3
petrology,3
auf,3
experiment,3
illinois,3
lubrication,3
aas,3
geophysicae,3
mechanica,3
koi,3
stromlo,3
ukrains,3
propagation,3
tekhnichni,3
geodesy,3
dopovidi,3
oceanic,3
robotics,3
microscopy,3
devices,3
electromagnetic,3
meteor,3
teramo,3
industry,3
collurania,3
zeitschriftr,3
zhidkostigaza,3
ultrasonics,3
minor,3
philips,3
solidstate,3
bonn,3
en,3
flugwissenschaften,3
plasmas,3
molecules,3
mater,3
sonderdrucke,3
resonance,3
meddelanden,3
fran,3
astronomiska,3
uppsala,3
electronica,3
crystallographica,3
status,3
iasi,3
institutul,3
politehnic,3
buletinul,3
recheninstituts,3
sectia,3
mecanica,3
planet,3
reihe,3
note,3
nature,3
geomagnetism,3
speed,3
microelectronics,3
behaviour,3
intelligent,3
moskovskogo,3
sviaz,3
measurements,3
aerosol,3
teoriia,3
jena,3
problems,3
razrezhennykh,3
radiofizika,3
irish,3
ordena,3
tsentr,3
solntsa,3
exploration,3
istanbul,3
optika,3
novosibirsk,3
geneve,3
instytut,3
sonneberg,3
astrophysikalischen,3
eng,3
melbourne,3
year,3
die,3
modeling,3
societatis,3
doptique,3
aircraft,3
observation,3
weather,3
cimento,3
jphy,3
cimentoserie,3
bank,3
jodrell,3
spring,3
flows,3
fall,3
potsdam,3
frequenza,3
seria,3
matematichenaturali,3
luft,3
crystals,3
porous,3
toulouse,3
flower,3
surveys,3
jsme,3
geofizicheskii,3
cook,3
universite,3
istituto,3
quaternary,3
imperial,3
politechnika,3
te,3
geodaetica,3
fisiche,3
optik,3
annaler,3
functional,3
scientiarum,3
lincei,3
akad,3
prikladnaia,3
bei,3
phys,3
astron,3
wien,3
naukowe,3
supplements,3
teacher,3
theorique,3
chimie,3
strain,3
zeszyty,3
kosmicheskie,3
cr,3
greenwich,3
observatoriya,2
pt,2
ser,2
groningen,2
cas,2
missouri,2
plasmaphysik,2
munchen,2
spika,2
protection,2
stalinabadskoj,2
agricultural,2
radiological,2
simul,2
jom,2
kapteyn,2
photo,2
laws,2
canada,2
mineral,2
representation,2
approaches,2
beobachtungszirkular,2
tuebingen,2
vacuum,2
zentralinstituts,2
atomizdat,2
dacoustique,2
civil,2
astronical,2
madras,2
ire,2
kharkov,2
izdanie,2
semiconductor,2
cegb,2
tel,2
babelsberg,2
celestial,2
observatoriipulkove,2
almaata,2
astrofizicheskogo,2
casopis,2
nyi,2
astronomicheskoi,2
glavnoi,2
csf,2
fizicheskaya,2
parttransactions,2
iue,2
nauchnye,2
sovremennye,2
arbeitsgemeinschaft,2
berliner,2
erde,2
naukatekhnika,2
okeanologiia,2
vuz,2
znanie,2
seminar,2
teoreticheskaia,2
algorithms,2
sitzungsberichte,2
klasse,2
photographic,2
naia,2
sensor,2
carnegie,2
metallurgiia,2
dc,2
carter,2
lab,2
casi,2
vishcha,2
lenina,2
wellington,2
sovetskoe,2
jahrbuch,2
western,2
kinematikafizika,2
viniti,2
vysshaia,2
nebesnykh,2
energoizdat,2
medecine,2
tadzhikskoj,2
lunds,2
online,2
shemakhinskoj,2
spisanie,2
laboratoriia,2
sciencepolymer,2
bull,2
practical,2
astrophys,2
belgrade,2
liege,2
fra,2
jmmm,2
material,2
lassociation,2
quantitative,2
robotic,2
asociacion,2
living,2
mechanism,2
dobservateurs,2
mededelingen,2
structure,2
visual,2
commission,2
radioanalytical,2
semiclassical,2
italiani,2
bolletino,2
reference,2
brain,2
braunschweig,2
parallel,2
lvov,2
waerme,2
tonantzintla,2
physicsnuclear,2
thesis,2
gosudarstvennogo,2
matematicheskaia,2
meteorologique,2
matematicheskie,2
imeni,2
matematicheskoe,2
communities,2
budapest,2
jmet,2
aeronomie,2
meccanica,2
detoiles,2
universiteit,2
program,2
nedra,2
seismology,2
seismological,2
yamagata,2
meteorites,2
yerkes,2
met,2
meteoritics,2
cell,2
meteorologische,2
combinatorial,2
teaching,2
metallurgy,2
volcanology,2
nucleaire,2
learning,2
mikroelektronika,2
scientifique,2
ed,2
terrestrial,2
optiki,2
metalworking,2
mission,2
biogeosciences,2
kobe,2
instituut,2
geodesique,2
dinformation,2
donnees,2
stellaires,2
microdevices,2
moskovskij,2
guidance,2
telescope,2
liquid,2
geoelectricity,2
fellows,2
petroleum,2
biographical,2
smart,2
capodimonte,2
netherlands,2
jetp,2
czechoslovakia,2
metal,2
sky,2
leningradskii,2
situ,2
metallurgical,2
departamento,2
stirecon,2
tekhnicheskij,2
italiano,2
sea,2
gruppo,2
models,2
link,2
quest,2
goethe,2
cycles,2
military,2
delta,2
films,2
developments,2
dfvlr,2
medizin,2
tagung,2
geothermal,2
publikationen,2
dinamika,2
dio,2
disa,2
display,2
geos,2
eksperimental,2
michigan,2
georgetown,2
distributed,2
bologna,2
noiteoreticheskoi,2
deep,2
effects,2
documentation,2
bergedorf,2
photogrammetric,2
nanostructures,2
fizica,2
spectra,2
louisiana,2
mexico,2
public,2
perkins,2
interactions,2
hokkaido,2
historical,2
rca,2
louvain,2
arizona,2
polymers,2
steward,2
hill,2
summer,2
radiotekhnikaelektronika,2
chimica,2
helvetica,2
liquids,2
handbuch,2
eye,2
earths,2
rare,2
engineer,2
dlib,2
tashkent,2
priborostroenie,2
energetika,2
poznan,2
uniwersytet,2
serieschemical,2
toxicology,2
informations,2
adama,2
mickiewicza,2
frontiers,2
foundations,2
house,2
torino,2
essays,2
ingenieurwesen,2
forschung,2
explosives,2
propellants,2
voln,2
technologies,2
noise,2
fizyka,2
coatings,2
tekhnicheskoi,2
facultad,2
faraday,2
fatigue,2
messtechnik,2
temperatur,2
krakow,2
embo,2
tartuskoj,2
fundamentals,2
plant,2
sproul,2
stability,2
pmtf,2
atmospheres,2
oceans,2
poliarnye,2
seriesphysical,2
stochastics,2
europe,2
geografiska,2
sbornik,2
eclipsing,2
binaries,2
electric,2
machines,2
electrotechnical,2
researches,2
ottawa,2
cosmochimica,2
elektrische,2
geochimica,2
gravitation,2
avtomatike,2
economic,2
popular,2
postepy,2
microwaves,2
photochemistry,2
proceedingscommunications,2
rundschau,2
vysokikh,2
photogrammetry,2
surgery,2
past,2
maxillofacial,2
neue,2
linear,2
spectrometry,2
wilhelm,2
millimeter,2
nizamiah,2
probability,2
north,2
gidrodinamiki,2
astronomicky,2
prague,2
interdisciplinary,2
markets,2
interavia,2
commercial,2
konkoly,2
integral,2
przeplywowych,2
prace,2
mons,2
aires,2
radcliffe,2
business,2
johannesburg,2
radar,2
interplanetary,2
palomar,2
technol,2
aeronomiifizike,2
cst,2
geomagnetizmu,2
iskusstvennykh,2
issledovanie,2
lasers,2
sputnikov,2
sampe,2
nachrichtenblatt,2
isis,2
metody,2
chocs,2
cida,2
ciel,2
nachrichtentechnische,2
isa,2
espacio,2
nagoya,2
ionosphere,2
circolare,2
ionosfernye,2
inzynierskie,2
rozprawy,2
nanjing,2
astrofili,2
pretoria,2
rise,2
buenos,2
andrews,2
delle,2
italia,2
pattern,2
rves,2
astrofisica,2
osaka,2
roma,2
argentino,2
geoscience,2
resultados,2
shelf,2
insulation,2
trends,2
hybrids,2
spectrum,2
pergamon,2
milanomerate,2
technological,2
lightwave,2
observervatory,2
england,2
peremennye,2
cerro,2
zvezdy,2
kwasan,2
greece,2
proceedingsmicrowaves,2
orion,2
origins,2
organic,2
dynamique,2
scotland,2
riga,2
owens,2
algebra,2
astronomiche,2
valley,2
oslo,2
teoreticheskoi,2
separata,2
dastronomie,2
helsinki,2
informational,2
geologie,2
understanding,2
occasional,2
indiana,2
odesskij,2
nat,2
imi,2
comp,2
mexicana,2
mechnikova,2
oikos,2
language,2
impact,2
ima,2
mitteilungsblatt,2
nederlandse,2
aquatic,2
ion,2
apl,2
bordeaux,2
mat,2
ukrainskii,2
investigations,2
mathematicae,2
bulgaria,2
astroparticle,2
nice,2
armagh,2
equipment,2
tartu,2
strasbourg,2
satellites,2
uk,2
astra,2
library,2
ag,2
heavy,2
skies,2
gruzinskoi,2
tbilisi,2
tekhnicheskii,2
astrophysica,2
wear,2
recheninstitut,2
usoc,2
biologique,2
math,2
tekhnicheskikh,2
matematichni,2
ta,2
chicago,2
meteo,2
arts,2
sterrewacht,2
components,2
tables,2
leiden,2
navuk,2
sezione,2
ast,2
frankfurt,2
med,2
biol,2
uzbekskoi,2
zvezd,2
gidrofizicheskie,2
morskie,2
filial,2
skii,2
bruxelles,2
caroliae,2
universitatis,2
atlas,2
geophysique,2
fennicae,2
velocimetry,2
apatity,2
scientarum,2
acustica,2
aeronautica,2
ukrainian,2
austriaca,2
automatica,2
wales,2
maritime,2
tp,2
astronomers,2
dudley,2
associazione,2
wind,2
basel,2
akademia,2
introduction,2
azerbaidzhanskoi,2
stelle,2
variabili,2
lowell,2
lucien,2
sofia,2
issledovaniya,2
tekhnicheskikhmatematicheskikh,2
libert,2
aster,2
spetsialnoj,2
spektroskopii,2
astrofizicheskie,2
lund,2
yamaguchi,2
wuli,2
astrobiology,2
xxfd,2
nauchnaia,2
belorussian,2
private,2
aeronautique,2
lunar,2
sibirskoe,2
operations,2
gauthiervillars,2
agu,2
koniglichen,2
fizicheskikh,2
aslib,2
bogenhausen,2
dynamic,2
academiae,2
packaging,2
abhandlungen,2
gas,2
vilnius,2
atmosferyokeana,2
turbines,2
edam,2
optica,2
sistemy,2
tesla,2
chemica,2
dearborn,2
tribology,2
aiaa,2
los,2
turbomachinery,2
aiche,2
software,2
lembang,2
indonesia,2
florida,2
microstructures,2
sessiia,2
vdi,2
zenit,2
spray,2
coimbra,2
scientist,2
zhetf,2
aeg,2
academic,2
bioclimatology,2
bioklimatologie,2
archaeoastronomy,2
performance,2
telefunken,2
vie,2
da,2
arch,2
geosciences,2
zentralinstitut,2
angloaustralian,2
kosmicheskim,2
epping,2
alta,2
terre,2
faculte,2
observatoriia,2
aerodinamika,2
physiques,2
lucham,2
ankara,2
atr,2
tsagi,2
universidade,2
microbiology,2
bamberg,2
apss,2
tashkentskoj,2
ambio,2
mechaniki,2
naturforschung,2
babes,2
stosowanej,2
aasdivision,2
exact,2
directions,2
aps,2
bolyai,2
automatic,2
kleine,2
ann,2
remeissternwarte,2
adaptive,2
geologiigeofiziki,1
physicsproceedings,1
vcfd,1
vlsi,1
acids,1
nucleic,1
vblt,1
noigg,1
nuphs,1
plants,1
vkisp,1
nse,1
combined,1
nuctf,1
physicsnuphb,1
vlsid,1
nucte,1
ntt,1
nucph,1
physicsnupha,1
mrovg,1
turbulent,1
nttrv,1
nacel,1
sheets,1
vccpp,1
nds,1
nuend,1
nucfu,1
nisz,1
shear,1
nucfs,1
nugeo,1
noizn,1
novig,1
nualg,1
nucim,1
sredy,1
vtsf,1
rotor,1
researchnimpa,1
nimpr,1
researchnimpb,1
vvrd,1
nabliudeniia,1
naz,1
sploshnoi,1
zentralstelle,1
nar,1
polar,1
nfao,1
numht,1
catalog,1
mgtvp,1
motortechnische,1
oovro,1
motze,1
mimeographs,1
ycat,1
usnoy,1
mtsom,1
vicfd,1
winter,1
mtsre,1
civile,1
usnoo,1
oaorp,1
vac,1
atomnoi,1
besk,1
meudon,1
muvsk,1
nick,1
mvsmm,1
vtj,1
meuk,1
termoiadernykh,1
lyore,1
plazmyproblemy,1
genk,1
vizier,1
obnk,1
cnes,1
upravliaemykh,1
mgtvm,1
faiteslobservatoire,1
